entity_type,name,query,count,approx,index_used,target,century,short_name,error,abs_err,true,logc
historical_figure,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,248997,0,v4_olmo-mix-1124_llama,1791.0,1700,0,,83.77344553877515,1791.0,5.396195858772636
historical_figure,Denis Diderot,Denis Diderot,109801,0,v4_olmo-mix-1124_llama,1784.0,1700,0,,130.76448079780448,1784.0,5.040610250688329
historical_figure,Carl Linnaeus,Carl Linnaeus,162726,0,v4_olmo-mix-1124_llama,1778.0,1700,0,,19.788111171616947,1778.0,5.211459617953212
historical_figure,Johann Sebastian Bach,Johann Sebastian Bach,331556,0,v4_olmo-mix-1124_llama,1750.0,1700,0,,172.65500567678714,1750.0,5.520558201390786
historical_figure,James Cook,James Cook,669239,0,v4_olmo-mix-1124_llama,1779.0,1700,0,,224.61333589042965,1779.0,5.825581890539186
historical_figure,Peter the Great,Peter the Great,639624,0,v4_olmo-mix-1124_llama,1725.0,1700,0,,764.7192028511968,1725.0,5.8059254299801735
historical_figure,Adam Smith,Adam Smith,3508834,0,v4_olmo-mix-1124_llama,1790.0,1700,0,,415.5865829497666,1790.0,6.545162946364642
historical_figure,Pierre Bouguer,Pierre Bouguer,5983,0,v4_olmo-mix-1124_llama,1758.0,1700,0,,452.4142383336025,1758.0,3.776991584856405
historical_figure,Ferdinand Augustin Hallerstein,Ferdinand Augustin Hallerstein,27,0,v4_olmo-mix-1124_llama,1774.0,1700,0,,26.668375021198244,1774.0,1.4471580313422192
historical_figure,Franz Balthasar von Lindern,Franz Balthasar von Lindern,24,0,v4_olmo-mix-1124_llama,1755.0,1700,0,,116.9207187517195,1755.0,1.3979400086720377
historical_figure,Patrick Browne,Patrick Browne,4700,0,v4_olmo-mix-1124_llama,1790.0,1700,0,,348.3996576747072,1790.0,3.6721902511882525
historical_figure,John Clayton,John Clayton,93015,0,v4_olmo-mix-1124_llama,1773.0,1700,0,,427.723429102869,1773.0,4.968557659457595
historical_figure,Qianlong Emperor,Qianlong Emperor,56260,0,v4_olmo-mix-1124_llama,1799.0,1700,0,,743.6239565350729,1799.0,4.750207447179027
historical_figure,Wladyslaw Jehoshaphat Sapieha,Wladyslaw Jehoshaphat Sapieha,0,0,v4_olmo-mix-1124_llama,1733.0,1700,0,,226.27243161735032,1733.0,0.0
historical_figure,William Kidd,William Kidd,46085,0,v4_olmo-mix-1124_llama,1701.0,1700,0,,99.8290022081137,1701.0,4.66356901549458
historical_figure,Charles Marie de La Condamine,Charles Marie de La Condamine,2754,0,v4_olmo-mix-1124_llama,1774.0,1700,0,,124.12840907115356,1774.0,3.4401216031878037
historical_figure,Alexander Spotswood,Alexander Spotswood,13009,0,v4_olmo-mix-1124_llama,1740.0,1700,0,,333.3699147634363,1740.0,4.114277296561586
historical_figure,Alexis Clairaut,Alexis Clairaut,3871,0,v4_olmo-mix-1124_llama,1765.0,1700,0,,229.5346004422197,1765.0,3.587935348636356
